Nombre,Departamento,Ciudad,Direccion,HoraDeApertura,HoraDeCierre,Facebook,Instagram,Web,Descripcion,Imagen,Latitud,Longitud,TipoDeLugar,RestriccionDeEdad,EnfoqueDePersonas,Megusta,puntosinteres_id,Tipo,Telefonos
Farmacia Jardin,Montevideo,Montevideo,Bvar. José Batlle y Ordóñez 3449 11600 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://uy.todosnegocios.com/farmacia-jardin-2487-0940,Medicamentos disponibles,https://uy.todosnegocios.com/farmacia-jardin-2487-0940,3486722,5623392,Espacio cerrado,Todas,Grupo,10,,Farmacias,24870940
Farmacia Arapey,Montevideo,Montevideo,Av. Gral. Flores 3143 11700 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,http://www.farmaciasarapey.com/,Medicamentos disponibles,https://lh5.googleusercontent.com/p/AF1QipMszEIqTxfAJ_ZCTkN2rVoDiqFk0e9Q0XpAwdAn=w408-h306-k-no,3486722,5623392,Espacio cerrado,Todas,Grupo,10,,Farmacias,22098556
Farmacia Pigalle suc. 8 de Octubre,Montevideo,Montevideo,Avda. 8 de Octubre 2547 Pdte. Berro esq 11600 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,http://www.pigalle.com.uy/,Medicamentos disponibles,https://lh5.googleusercontent.com/p/AF1QipOQTmchYD7weCKyYtZ2TZNR8q51SAEgLh9QpKqW=w408-h306-k-no,3486722,5623392,Espacio cerrado,Todas,Grupo,10,,Farmacias,24034030
Farmacia,Montevideo,Montevideo,4RMH+CHX Avenida Gral. Flores 11600 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,,Medicamentos disponibles,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YBnNNjXFCD1dVZfiQPYN1w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=149.5261&pitch=0&thumbfov=100,3486722,5623392,Espacio cerrado,Todas,Grupo,10,,Farmacias,0
Farmacia Seneca,Montevideo,Montevideo,Av. Gral. José Garibaldi 2503 11600 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://uy.todosnegocios.com/farmacia-seneca-2487-7389,Medicamentos disponibles,https://uy.todosnegocios.com/farmacia-seneca-2487-7389,3488560,5623453,Espacio cerrado,Todas,Grupo,10,,Farmacias,24877389
Farmacia Machado 2,Montevideo,Montevideo,Bv. Gral. Artigas 1999 11800 Montevideo Departamento de Montevideo,0:00:00,23:59:59,https://www.facebook.com/FarmaciaMachado/?locale=es_LA,,https://www.guias.com.uy/empresa/farmacia-machado-2-tres-cruces-montevideo,Medicamentos disponibles,https://lh5.googleusercontent.com/p/AF1QipOrOAiN5Ix0IHAnYKBWSGkhkG3vctqZL3HbxUCH=w408-h244-k-no,3488560,562345,Espacio cerrado,Todas,Grupo,10,,Farmacias,24013525
Farmacia Corominas,Montevideo,Montevideo,Av. 8 de Octubre 2689 11600 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://www.planetauruguay.com/farmacia-corominas-montevideo-F1B0FC000,Medicamentos disponibles,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=J7-Nry217NVYOvANj3aM2A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=335.12494&pitch=0&thumbfov=100,3488560,562345,Espacio cerrado,Todas,Grupo,10,,Farmacias,24800017
Farmacia Pose,Montevideo,Montevideo,Av. Gral. San Martín 3680 12300 Montevideo Departamento de Montevideo,0:00:00,23:59:59,https://www.facebook.com/farmaciapose/,,https://uy.todosnegocios.com/farmacia-pose-2216-1033,Medicamentos disponibles,https://lh5.googleusercontent.com/p/AF1QipOOOI6TjExN9lMyAcEX3PtixOizVls_fJOadbsj=w408-h306-k-no,3488560,5623453,Espacio cerrado,Todas,Grupo,10,,Farmacias,22161033
Farmacia Gilda,Montevideo,Montevideo,Av. Millán 2744 11800 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://uy.todosnegocios.com/farmacia-gilda-2203-4901,Medicamentos disponibles,https://lh5.googleusercontent.com/p/AF1QipOy-kV1AAq8J-qcqAd4aJvRENVdulN9HUyTm_hi=w408-h725-k-no,3488560,5623453,Espacio cerrado,Todas,Grupo,10,,Farmacias,22034901
FARMACIA EL CAIRO,Montevideo,Montevideo,Pres. Ing. José Serrato 3450 12000 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://uy.eldirectorio.co/empresas/montevideo/farmacia-el-cairo/farmacia-el-cairo-14980,Medicamentos disponibles,https://lh5.googleusercontent.com/p/AF1QipMaSWN_jGqx_rnmeOBl1cfICcFiVAllE_mCps9t=w520-h240-k-no,3488560,5623453,Espacio cerrado,Todas,Grupo,10,,Farmacias,22169797
