Nombre,Departamento,Ciudad,Direccion,HoraDeApertura,HoraDeCierre,Facebook,Instagram,Web,Descripcion,Latitud,Longitud,TipoDeLugar,RestriccionDeEdad,EnfoqueDePersonas,Megusta,Tipo,Telefonos
Estacion de Servicio Axion,Montevideo,Montevideo,Av. Gral. Eugenio Garzon 425,00:00:00,23:59:59,,,https://www.axionenergy.com/Paginas/index.aspx,Nafta y viveres,3484660,5629284,Ambos,Todas,Grupo,2149,Estaciones de Servicio,23061066
Estacion Servicio Petrobras,Montevideo,Montevideo,Gral. Pagola 2340,00:00:00,23:59:59,,,http://www.petrobras.com.uy/,Nafta y viveres,3487114,5618610,Ambos,Todas,Grupo,731,Estaciones de Servicio,24092525
Ancap Marne ltda Venta de Garrafas,Montevideo,Montevideo,Bv. Jose Batlle y Ordoñez 3855,00:00:00,23:59:59,,,http://marneltda.vitrinevirtual.net/,Nafta y viveres,3487114,5618610,Ambos,Todas,Grupo,4049,Estaciones de Servicio,24816104
Axion,Montevideo,Montevideo,Maronias 1100,00:00:00,23:59:59,,,https://www.axionenergy.com/Paginas/index.aspx,Nafta y viveres,3487114,5618610,Ambos,Todas,Grupo,2262,Estaciones de Servicio,25148340
Axion Energy,Montevideo,Montevideo,Bulevar Artigas 2000,00:00:00,23:59:59,,,https://www.axionenergy.com/Paginas/index.aspx,Nafta y viveres,3487114,5618610,Ambos,Todas,Grupo,2637,Estaciones de Servicio,22152120
Axion Delmar SRL Estacion de servicio,Montevideo,Montevideo,Cambay 2504,00:00:00,23:59:59,,,https://uy.latinoplaces.com/montevideo/axion-delmar-srl-estacion-1336534,Nafta y viveres,3487114,5618610,Ambos,Todas,Grupo,257,Estaciones de Servicio,25251384
Disa,Montevideo,Montevideo,Avenida Jose Batlle y Ordoñez 5500,00:00:00,23:59:59,,,,Nafta y viveres,3483855,5627076,Ambos,Todas,Grupo,1219,Estaciones de Servicio,23595249
Ancap,Montevideo,Montevideo,Ciudad Vieja 2115,00:00:00,23:59:59,,,http://www.ducsa.com.uy/estaciones,Nafta y viveres,3491027,5627087,Ambos,Todas,Grupo,1241,Estaciones de Servicio,29158604
Ancap Servicentro Danalin,Montevideo,Montevideo,Av. Italia 2905 y Brito Foresti,00:00:00,23:59:59,,,http://www.ducsa.com.uy/estaciones,Nafta y viveres,3491027,5627087,Ambos,Todas,Grupo,3314,Estaciones de Servicio,24877131
Axion Estacion de Servicio,Montevideo,Montevideo,Avenida Aires Puros 2015,00:00:00,23:59:59,,,https://www.transportecarretero.com.uy/estaciones-de-servicio/esso-montevideo-montevideo-13.html,Nafta y viveres,3485781,5626671,Ambos,Todas,Grupo,3676,Estaciones de Servicio,11111111
