Nombre,Departamento,Ciudad,Direccion,HoraDeApertura,HoraDeCierre,Facebook,Instagram,Web,Descripcion,Imagen,Latitud,Longitud,TipoDeLugar,RestriccionDeEdad,EnfoqueDePersonas,Megusta,puntosinteres_id,Tipo,Telefono
Zodíaco Karaoke,Montevideo,Montevideo,Constituyente 1641 Esquina Roxlo Montevideo Montevideo 11209 · ~39 km,0:00:00,23:59:59,,,https://zodiacokaraoke-karaokebar.negocio.site/,El mejor karaoke.,https://zodiacokaraoke-karaokebar.negocio.site/,3490586,5618321,Espacio cerrado,Mayores,Grupos,4,,Discoteca,24076022
Manifiesto,Montevideo,Montevideo,Eduardo Víctor Haedo 2244 11200 Montevideo Departamento de Montevideo Uruguay · ~23 km,0:00:00,23:59:59,,,,Club de baile,,3489658,5616955,Espacio cerrado.,Mayores,Grupos,5,,Discoteca,0
El comedy bar,Montevideo,Montevideo,Rivera 3671 Montevideo 45000 · ~24 km,20:00:00,3:00:00,https://www.facebook.com/El-Comedy-Bar-208864969597255/,,,El bar de la comedia.,https://scontent.fmvd1-1.fna.fbcdn.net/v/t39.30808-6/286760588_1370005280149879_804167369460235074_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=e3f864&_nc_eui2=AeHBpD38mRoxI1xEIiHmXGtFM2pNv2rugjUzak2_au6CNQZdnHbWSVCdqWWIK2HugmYpk8CXk25zYiiPHsks8RA1&_nc_ohc=d0DCE1DDLd8AX-v1XPk&_nc_ht=scontent.fmvd1-1.fna&oh=00_AfA47iNN5FaMp3ni11fY8nLTcd1N43bswifYbJkoxmXViA&oe=63D32491,3488723,5619142,Espacio cerrado,Mayores,Grupos,6,,Discoteca,99787800
Cuartopi,Montevideo,Montevideo,Dr. Joaquín Requena 1670 11200 Montevideo Departamento de Montevideo Uruguay · ~26 km,0:00:00,23:59:59,,,,Baile 24 hs.,,3489348,5618814,Espacio cerrado,Mayores,Grupos,7,,Discoteca,0
Katrina club de baile,Montevideo,Montevideo,Av. Gral. Rivera 3665 11300 Montevideo Departamento de Montevideo Uruguay · ~24 km,0:00:00,6:00:00,https://www.facebook.com/profile.php?id=100080556663150,,,Baile nocturno.,https://www.facebook.com/photo/?fbid=161925713169317&set=a.161925693169319&__tn__=%3C,348996,5613647,Espacio cerrado,Mayores,Grupos,8,,Discoteca,97226631
Mandinga Milonga,Montevideo,Montevideo,Mercedes 1716 Montevideo Montevideo Department · ~35 km,21:00:00,4:00:00,https://www.facebook.com/mandingatango/,,,Milonga en baile,https://scontent.fmvd1-1.fna.fbcdn.net/v/t39.30808-6/279425787_3232838940327223_8898678432566031938_n.jpg?stp=dst-jpg_p640x640&_nc_cat=107&ccb=1-7&_nc_sid=e3f864&_nc_eui2=AeGApM_U2yIvQ5upNYwQ8BxEGms9NpV9TPkaaz02lX1M-fGcFHmZftajl0OS1VNgNx0BjgsMQYwYcrZicAigu15T&_nc_ohc=ZlfEmY3zod8AX--_tvl&_nc_ht=scontent.fmvd1-1.fna&oh=00_AfCTbRDDHu_OJVAqwpoxfcDoPeOrcOY79JD265sSAMTueg&oe=63D2FFF3,3489961,5615179,Espacio cerrado,Mayores,Grupos,9,,Discoteca,0
Phonotheque,Montevideo,Montevideo,Piedra Alta Montevideo Montevideo 11800 · ~37 km,0:00:00,23:59:59,,,,,,3489566,5618740,Espacio cerrado,Mayores,Grupos,0,,Discoteca,0
Échale Salsita,Montevideo,Montevideo,José Enrique Rodó 1969 11200 Montevideo Montevideo Department · ~32 km,0:00:00,23:59:59,https://www.facebook.com/echalesalsitaa/,,,Lugar de baile,https://scontent.fmvd1-1.fna.fbcdn.net/v/t1.6435-9/58978274_2136335899807345_1025788801902968832_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=9267fe&_nc_eui2=AeFAqWfNC5u4b9mzCAL9wSFXaxjlW6LslexrGOVbouyV7Jrjc1R0dvAsGcsYFrdRa5VLZE-W8K4moc_lxF2E_umc&_nc_ohc=DY10wvNsbRsAX-25faw&_nc_ht=scontent.fmvd1-1.fna&oh=00_AfBcn4TYicOSTKda0CmdgRAPQTMWQyefgkxMqAA8IV75fQ&oe=63F55A3F,3490847,5617784,Espacio cerrado,Mayores,Grupos,1,,Discoteca,0
Casino Radisson Victoria Plaza,Montevideo,Montevideo,815 Colonia Montevideo Centro 11100 Montevideo Uruguay Montevideo Montevideo 11100,0:00:00,23:59:59,https://www.facebook.com/VictoriaPlazaCasino/,https://www.instagram.com/radisson/,,Casino de la plaza.,https://scontent.fmvd1-1.fna.fbcdn.net/v/t39.30808-6/291216235_427143972759439_841545999010946006_n.jpg?stp=dst-jpg_p180x540&_nc_cat=108&ccb=1-7&_nc_sid=e3f864&_nc_eui2=AeFbBNjXflr-8CZGxUas6vMFvW1CbHayFnu9bUJsdrIWe3M_fmzHYcQHLcEMPpIluaGrf5lo4wjZQ0Nw3Ry-WCOR&_nc_ohc=zbOVZ7IO1yAAX8RRov1&_nc_ht=scontent.fmvd1-1.fna&oh=00_AfAXZtGdyhhfuHjrcXf07rMzMCBvz9mHVLfd-NJWC8bxDQ&oe=63D1F4D3,3490531,5620123,Espacio cerrado,Mayores,Grupos,2,,Casino,29020062
Sofitel Montevideo Casino Carrasco & Spa,Montevideo,Montevideo,Rambla Republica de Mexico s/n Montevideo 11500 · ~87 km,0:00:00,23:59:59,https://www.facebook.com/SofitelMontevideo/,https://www.instagram.com/accor/,https://all.accor.com/hotel/7969/index.es.shtml?y_source=1_MTUzNTk2OTItNDgzLWxvY2F0aW9uLndlYnNpdGU%3D,Casino de carrasco,https://scontent.fmvd1-1.fna.fbcdn.net/v/t1.18169-9/14463103_1130165143733207_8063425279578676558_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=e3f864&_nc_eui2=AeHiDVybtFL3_rNtkZYvEtR1JC93u8tLBiskL3e7y0sGKylPRACqEIoHQU3OLUsqQF8TXL6D0CoaWwOaqM91wWKf&_nc_ohc=zONmFzVYJz4AX-rMG7A&_nc_ht=scontent.fmvd1-1.fna&oh=00_AfBeLmWXNDyBui56aXA0_AtQel47thi3CbxcEK3zVZQKBg&oe=63F54BAC,3489056,5605746,Espacio cerrado,Mayores,Grupos,3,,Casino,26046060
