Nombre,Departamento,Ciudad,Direccion,HoraDeApertura,HoraDeCierre,Facebook,Instagram,Web,Descripcion,Latitud,Longitud,TipoDeLugar,RestriccionDeEdad,EnfoqueDePersonas,Megusta,Tipo,Telefono
Fabrica de Pastas y Cantina Blanes,Montevideo,Montevideo,Juan Manuel Blanes 997,08:00:00,20:00:00,https://www.facebook.com/FabricadePastasBlanes/,,,Pastas y alcohol.,3491114,5617394,Espacio cerrado,Mayores,Grupo,139,Cantina,24131191
Cantinas Militares,Montevideo,Montevideo,Gral. Flores 3950 esq. Tobas,08:00:00,14:00:00,https://www.facebook.com/Cantinas-Militares-335115799968545/,,,Cantina de calidad militar.,3486986,5617647,Espacio cerrado,Mayores,Grupo,216,Cantina,22151155
La Chingada Cantina,Montevideo,Montevideo,Coronel Mora 549,12:00:00,00:00:00,,,www.tripadvisor.co.uk,Tu chingada cantina.,3491967,5616076,Ambos,Mayores,Grupo,261,Cantina,97477434
La Cantina Del 25,Montevideo,Montevideo,Dr Jose Luis Bado 3186,10:00:00,01:00:00,https://www.facebook.com/lacantinadel25/,https://www.instagram.com/webnode_ag/,,La cantina del 25.,3490153,5614889,Espacio cerrado,Mayores,Grupo,182,Cantina,26288635
Cantina Rostand,Montevideo,Montevideo,Rostand 1560,00:00:00,02:00:00,,https://www.instagram.com/cantinarostand/?hl=es,,Cantina Rostand for you.,3488970,5607317,Ambos,Mayores,Grupo,402,Cantina,26020523
La cantina del Ale.,Montevideo,Montevideo,Balvedere Triunfo,15:00:00,03:30:00,https://www.facebook.com/profile.php?id=100063910369434,https://www.instagram.com/lacantidelale/?hl=es,https://nicelocal.uy/montevideo/restaurants/la_cantina_del_ale/,La cantina del Ale,3484508,5625563,Ambos,Mayores,Grupo,254,Cantina,96531746
La Cantina del Urreta F.C.,Montevideo,Montevideo,Canstatt 2966,17:00:00,00:00:00,https://www.facebook.com/lacanti/,https://www.instagram.com/lacantinadelurreta/?hl=es,https://uy.todosnegocios.com/la-cantina-del-urreta-f-c-2481-9924,Cantina del F.C. Urreta.,3487560,5617930,Ambos,Mayores,Grupo,1771,Cantina,24819924
Cantina Patricio,Montevideo,Montevideo,Av. 8 de Octubre 3233,09:00:00,22:00:00,,,https://vymaps.com/UY/Bar-Patricio-104298/,Cantina de Patricio,3487570,5617930,Espacio cerrado,Mayores,Grupo,296,Cantina,24843944
La cantina de la terminal,Montevideo,Montevideo,Galicia 911,00:00:00,23:59:59,,,https://uy.todosnegocios.com/la-cantina-de-la-terminal-099-312-966,La cantina que esta a mano,3487580,5621515,Ambos,Mayores,Grupo,296,Cantina,99312966
Cantina de Manga,Montevideo,Montevideo,Cerro,19:00:00,04:00:00,,,https://www.informes20.com/categorias/cantinas-48857/punta-de-manga-166,Cantina en Manga.,3487590,5626514,Ambos,Mayores,Grupo,239,Cantina,94871915
La cantina resto bar,Montevideo,Montevideo,Dr. Gustavo Gallinal 1989,10:00:00,00:00:00,,https://www.instagram.com/cantinaobligado/?hl=es,https://nearindex.com/uy/montevideo/org-la-cantina-resto-bar,Semi Cantina,3487600,5619177,Ambos,Mayores,Grupo,387,Cantina,98299762
Kantina,Montevideo,Montevideo,Agr Francisco Ros 2748,19:00:00,02:00:00,,https://www.instagram.com/cantinaobligado/?hl=es,https://salimos.uy/listado/la-cantina-del-ramirez/,La Kantina pa vos esta noche.,3487610,5617625,Ambos,Mayores,Grupo,3847,Cantina,27067413
Cantina El Fondon,Montevideo,Montevideo,Constituyente 1666,10:30:00,17:30:00,,https://www.instagram.com/el_fondin_cantina/?hl=es,,Cantina a fondo.,3487620,5619779,Ambos,Mayores,Grupo,321,Cantina,99979599
Cantina Obligado,Montevideo,Montevideo,Obligado 1174,10:00:00,23:00:00,https://www.facebook.com/cantinaobligado/,https://www.instagram.com/cantinaobligado/?hl=es,https://cantinaobligado.habitueonline.com/menu,Estas obligado a venir.,3487630,5617819,Espacio cerrado,Mayores,Grupo,279,Cantina,27067413
Cantina De Lucas,Montevideo,Montevideo,Calle Uruguay en el centro,08:00:00,00:00:00,,,https://nicelocal.uy/montevideo/restaurants/cantina_de_lucas/,Veni a la cantina de Lucas.,3487640,5626803,Espacio cerrado,Mayores,Grupo,207,Cantina,11111111
Cantina del Mirador Rosado,Montevideo,Montevideo,Bartolito Mitre 2621,09:30:00,23:15:00,https://www.facebook.com/MiradorRosadoCSyD/,,https://nicelocal.uy/montevideo/restaurants/cantina_del_mirador_rosado/,Cantina para tomarte un rico.,3487650,5617415,Espacio cerrado,Mayores,Grupo,364,Cantina,27085292
La Cantina de Garufa,Montevideo,Montevideo,4 de Julio 3171,20:00:00,01:00:00,https://m.facebook.com/people/La-Cantina-de-Garufa/100076244526193/,https://www.instagram.com/lacantinadegarufa/?hl=es-la,https://lacantinadegarufa.com/,Terrible Cantina papa.,3487660,5616520,Ambos,Mayores,Grupo,189,Cantina,26228619
La Cantina Del Tito,Montevideo,Montevideo,Camino Viena ,11:30:00,00:00:00,,,https://nicelocal.uy/montevideo/restaurants/la_cantina_del_tito/,Veni a lo del tito loco,3487670,5615153,Espacio cerrado,Mayores,Grupo,323,Cantina,11111111
Cantina. La Pirania,Montevideo,Montevideo,Mario Arregui,09:00:00,00:00:00,https://www.facebook.com/Cantina.25deagosto/,https://www.instagram.com/cantinaobligado/?hl=es,https://nicelocal.uy/montevideo/restaurants/cantina_la_pirana/,La cantina por la que paso Messi.,3487680,5632007,Espacio cerrado,Mayores,Grupo,352,Cantina,99725449
Cantina Club de Pesca El Morrito,Montevideo,Montevideo,Rambla Pte. Wilson,12:00:00,23:45:00,,,https://es.foursquare.com/v/club-de-pesca-el-morrito/51741c9ee4b076a9c2809ac2,Cantina pa pescar.,3487690,5624151,Ambos,Mayores,Grupo,269,Cantina,27113229
Cantina Del Oriental,Montevideo,Montevideo,Villla Espaniola,11:00:00,00:00:00,,,https://vymaps.com/UY/Cantina-Del-Oriental-96519/,Rico rico.,3487700,5622500,Espacio cerrado,Mayores,Grupo,324,Cantina,11111111
Cantina del Sanatorio Americano,Montevideo,Montevideo,Dr. Isabelino Bosch 2566,07:00:00,23:00:00,,,https://uy.todosnegocios.com/cantina-del-sanatorio-americano-2708-6041,Cantina cerca del Sanatorio Americano.,3487710,5622500,Espacio cerrado,Mayores,Grupo,8051,Cantina,27086041
Cantina Fraternidad,Montevideo,Montevideo,Heraclio Fajardo esquina chopitea 3466,10:00:00,01:00:00,https://www.facebook.com/cantinafraternidad/,,https://uy.todosnegocios.com/cantina-fraternidad-2215-9536,Esta cantina es una fraternidad,3487720,5621863,Espacio cerrado,Mayores,Grupo,1571,Cantina,22159536
La Bruta Cantina,Montevideo,Montevideo,Daniel Fernandez Crespo 1950,11:30:00,22:00:00,https://www.facebook.com/RestauranteBruta/,https://www.instagram.com/restaurantebruta/?hl=es,,Bruta cantina loco.,3487730,5625082,Ambos,Mayores,Grupo,116,Cantina,91072511
Cantina de BSE by Corazonada.,Montevideo,Montevideo,Av. Jose Pedro Varela 3420,08:00:00,21:30:30,https://www.facebook.com/people/Cantina-BSE-by-Corazonada/100054401444749/?locale=es_LA,,https://uy.todosnegocios.com/cantina-bse-by-corazonada-2901-3347,Esta cantina es del estado,3487740,5625082,Espacio cerrado,Mayores,Grupo,341,Cantina,92425232
Cantina del Valle | Salon de fiestas y eventos,Montevideo,Montevideo,Julio Cesar 1431,17:30:00,20:30:00,https://www.facebook.com/cantinadelvallebyportofinouyltda,,,Cantina del valle,3487750,5626737,Espacio cerrado,Mayores,Grupo,195,Cantina,96224879
Cantina  37,Montevideo,Montevideo,Ituzaingo,08:00:00,22:00:00,,,https://nicelocal.uy/montevideo/restaurants/cantina_liceo_37/,Cantina en liceo 37,3487760,5626737,Espacio cerrado,Mayores,Grupo,415,Cantina,94819250
Cantina IPA 2.0,Montevideo,Montevideo,Av. Libertador Brig. Gral. Lavalleja 2025,08:00:00,14:00:00,,https://www.instagram.com/ipacantina/?hl=es,https://nicelocal.uy/montevideo/restaurants/cantina_ipa_20/,Cantina del IPA,3487770,5626737,Espacio Cerrado,Mayores,Grupo,7328,Cantina,99479472
La Vieja Cantina,Montevideo,Montevideo,Agustina Contucci de Oribe,00:00:00,23:59:59,https://www.facebook.com/profile.php?id=100064020578442,https://www.instagram.com/laviejacantina/?hl=es,,La cantina mas vieja?,3487780,5626737,Espacio cerrado,Mayores,Grupo,5551,Cantina,25087944
La Cantina De Solano,Montevideo,Montevideo,Francisco Solano Antunez 2680,11:00:00,23:59:59,,,,La mejor cantina del Solano.,3487790,5626737,Espacio cerrado,Mayores,Grupo,319,Cantina,27138642
Cantina Tia Zol,Montevideo,Montevideo,Matilde Pacheco de Batlle y Ordoniez 4160,08:00:00,22:00:00,,,https://cantina-liceo-39-tia-zol.negocio.site/?utm_source=gmb&utm_medium=referral,Venite a la cantina del 39,3487800,5626737,Espacio cerrado,Mayores,Grupo,5784,Cantina,94027855
Cantina Facultad Ciencias,Montevideo,Montevideo,Iguain 4225,08:00:00,18:00:00,,,https://www.fcien.edu.uy/,Cantina de la Facu de ciencias.,3487810,5626737,Espacio cerrado,Mayores,Grupo,291,Cantina,11111111
Bowling Center,Montevideo,Montevideo,18 De Julio 1333 Subsuelo y Ejido en el  Centro,00:00:00,23:59:59,https://www.facebook.com/pages/Bowling-Center/374119672647494/,https://www.instagram.com/bowling.center/?hl=es,https://tunocheuruguay.com/bowling-montevideo/,El mejor bowling de Montevideo,3487820,5618956,Espacio cerrado,Todas,Grupo,6540,Bowling,29000151
